STOCK_CODE,TOTAL_STOCK,INCOMING_QTY_AVAILABLE,DUE_DATE,DISCONTINUED
503-BRO-280X190,0,0,,Y
503-BRO-300X80,0,0,,Y
503-BRO-320X230,0,0,,Y
503-BRO-400X80,0,0,,Y
503-LATTE-165X115,0,0,,Y
503-LATTE-190X190,0,0,,Y
503-LATTE-225X155,0,0,,Y
503-LATTE-280X190,0,0,,Y
503-LATTE-300X80,0,0,,Y
503-LATTE-320X230,0,0,,Y
503-LATTE-330X240,0,0,,Y
503-RED-165X115,0,0,,Y
503-RED-190X190,0,0,,Y
503-RED-225X155,0,0,,Y
503-RED-280X190,0,0,,Y
503-RED-300X80,0,0,,Y
503-RED-320X230,0,0,,Y
503-RED-400X80,0,0,,Y
503-RUST-165X115,0,0,,Y
503-RUST-225X155,0,0,,Y
503-RUST-280X190,0,0,,Y
503-WHITE-165X115,0,0,,Y
503-WHITE-170X120,0,0,,Y
503-WHITE-225X155,0,0,,Y
503-WHITE-280X190,0,0,,Y
503-WHITE-300X80,0,0,,Y
503-WHITE-320X230,0,0,,Y
503-WHITE-400X80,0,0,,Y
504-GOLD-170X120,0,0,,Y
504-GOLD-225X155,0,0,,Y
504-GOLD-280X190,0,0,,Y
504-GOLD-300X80,0,0,,Y
505-GREY-170X120,0,0,,Y
505-GREY-225X155,0,0,,Y
505-GREY-280X190,0,0,,Y
505-GREY-300X80,0,0,,Y
506-GREY-170X120,0,0,,Y
506-GREY-225X155,0,0,,Y
506-GREY-280X190,0,0,,Y
506-GREY-300X80,0,0,,Y
507-RED-170X120,0,0,,Y
507-RED-225X155,0,0,,Y
507-RED-280X190,0,0,,Y
507-RED-300X80,0,0,,Y
507-RED-480X300,0,0,,Y
508-BLACK-165X115,0,0,,Y
508-BLACK-225X155,0,0,,Y
508-BLACK-280X190,0,0,,Y
508-BROWN-280X190,0,0,,Y
508-GREEN-165X115,0,0,,Y
508-GREEN-225X155,0,0,,Y
508-GREEN-280X190,0,0,,Y
508-PAPRIKA-170X120,0,0,,Y
508-PAPRIKA-225X155,0,0,,Y
508-PAPRIKA-280X190,0,0,,Y
508-PAPRIKA-300X80,0,0,,Y
512-BEIGE-165X115,0,0,,Y
